Loss,Source baseline,Source augmentation,Source delta,Target baseline,Target augmentation,Target delta
G1+G2,0.453696916026,0.991289753566,0.53759283754,0.0285453586391,0.442904556195,0.414359197555
G1+G3,0.598353869363,0.99245445134,0.394100581976,0.00627547953374,0.482985860795,0.476710381261
G1+G4,0.273177331779,0.565247319398,0.29206998762,0.0340815554762,0.171853461529,0.137771906053
G2+G3,0.911735622356,0.995567188572,0.0838315662161,0.000461240219497,0.386981025877,0.386519785657
G2+G4,0.795435645534,0.883315723721,0.0878800781878,0.313682481453,0.00230906467872,-0.311373416775
G3+G4,0.743648638718,0.918205739742,0.174557101023,0.330456609692,0.0178286418271,-0.312627967865
