Dataset,Model,Coverage,Attack coverage,Risk,Accepted F1,AURC
Source,Baseline,0.407892856033,0.0716776955164,0.00815406973729,0.310831564917,0.0229083432124
Source,Mask augmentation,0.627056781508,0.27784729957,3.032264462e-05,0.832191335305,0.00537230912691
Source,Aug. + indicators,0.634807805848,0.30704754417,1.57794552004e-05,0.832690363136,0.00533820078033
Target,Baseline,0.415935556772,0.210980461742,0.0833213966066,0.00329094988781,0.0928087445918
Target,Mask augmentation,0.604384324032,0.243911594803,0.124294479206,0.000185317665115,0.0722285860205
Target,Aug. + indicators,0.612999907587,0.249292797855,0.11281852935,0.000147379532246,0.0760452167612
