rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,false_positive_rate,false_negative_rate,brier,logloss,ece,tn,fp,fn,tp,seed,dataset,model,condition_type,missing_groups
150178,0.9991343605588036,0.9992127440384514,0.9964071073948262,0.9993448208084912,0.9978738019691864,0.9999756801987332,0.9999007527699628,0.9973320603868172,0.0009193327315882,0.0006551791915088,0.0006573082854153,0.0029416542914182,0.0002689328439218,119542,110,20,30506,2027,source,ordinary_baseline,complete,
150178,0.999194289443194,0.9988477301814872,0.9977734848236796,0.9982637751425014,0.9980185697676324,0.9999380744178646,0.9997398921523476,0.9975129525192395,0.0005683147795272,0.0017362248574985,0.00069529519376,0.0035041099833563,0.0002232325278806,119584,68,53,30473,2027,source,full_method,complete,
150178,0.9123706534911904,0.7845924543293089,0.9993099482461184,0.5692851995020638,0.7253527005593121,0.9953389427222716,0.9817364313661058,0.7158451747811113,0.0001002908434459,0.4307148004979362,0.0916197432361907,0.4860070934741174,0.1074812807101025,119640,12,13148,17378,2027,source,ordinary_baseline,single,G1_Packet_Byte_Magnitude
150178,0.9989479151406996,0.9983148935972062,0.9975750426006028,0.9972482473956628,0.9974116182300712,0.9999244874113176,0.9996775681433666,0.9967514188574222,0.0006184602012502,0.0027517526043372,0.000914887763754,0.0049529397637413,0.0014432800795206,119578,74,84,30442,2027,source,full_method,single,G1_Packet_Byte_Magnitude
150178,0.9881340808906764,0.9761556712724124,0.9852126941255908,0.9559719583306034,0.97037209456988,0.9993213825959136,0.9971476460356126,0.9631265250305664,0.0036606157857787,0.0440280416693965,0.0130225146291422,0.0408615026367958,0.0192737207673713,119214,438,1344,29182,2027,source,ordinary_baseline,single,G2_Temporal_Activity
150178,0.9982554035877426,0.9967090332564362,0.9973051137110556,0.99410338727642,0.9957016766742134,0.9999322427908216,0.9997074045467244,0.9946093101182708,0.0006853207635476,0.0058966127235798,0.0014209204518418,0.0060067971562231,0.0008502357380209,119570,82,180,30346,2027,source,full_method,single,G2_Temporal_Activity
150178,0.999194289443194,0.999018539906505,0.99731754391704,0.9987224005765576,0.9980194778623456,0.9999710117485678,0.999881672851066,0.9975141436549664,0.0006853207635476,0.0012775994234423,0.0008688275563666,0.0038122217331946,0.001131948298993,119570,82,39,30487,2027,source,ordinary_baseline,single,G3_TCP_Control_Flags
150178,0.9991609956185328,0.9988024348664808,0.9976753323292517,0.9981982572233504,0.997936726272352,0.9999363746217852,0.9997322650610596,0.9974102181204388,0.0005933874903887,0.0018017427766494,0.0007285066864632,0.0036144615320355,0.0003030607294838,119581,71,55,30471,2027,source,full_method,single,G3_TCP_Control_Flags
150178,0.8543528346362317,0.9057058679237469,0.5833220991815118,0.9922361265806198,0.734715164158106,0.9773679879582826,0.8861509284418665,0.6865545559383538,0.180824390733126,0.0077638734193802,0.1013044318199549,0.4063096120269838,0.1227139815650913,98016,21636,237,30289,2027,source,ordinary_baseline,single,G4_Rate_Header_Flow_Context
150178,0.9699956052151448,0.9295004523250866,0.989797455010918,0.8612658061979952,0.9210692264573992,0.9960718299868412,0.9854308510112422,0.9059846152693738,0.002264901547822,0.1387341938020048,0.0269323563531353,0.0958669477989735,0.0245486415467689,119381,271,4235,26291,2027,source,full_method,single,G4_Rate_Header_Flow_Context
