seed,dataset,model,actual_coverage,attack_coverage,selective_risk,accepted_f1,aurc
2027,source,augmentation_only,0.6212450114752716,0.26224093122802417,8.923429089474952e-06,0.8332902400313408,0.004383669697834969
2027,source,full_method,0.6355069761660607,0.3076339295463976,1.2067881577978976e-05,0.8332768874108974,0.006760435200533038
2027,source,indicators_only,0.4017588017774463,0.06085522723798289,0.004225780544527534,0.3294274188418938,0.02444668297000342
2027,source,ordinary_baseline,0.4303493188083474,0.08051060298324923,0.008901062405696152,0.33332370887952106,0.024534275874603
2027,target,augmentation_only,0.5933735211075892,0.24158041048086587,0.15071323107130177,0.0,0.07208522445607123
2027,target,full_method,0.6100556510262628,0.2571922872183119,0.1718017975323919,0.0,0.0774107626060989
2027,target,indicators_only,0.39888634559817765,0.19996648331066025,0.17563689897392717,0.0,0.09157670512845717
2027,target,ordinary_baseline,0.43175584809515083,0.21236568679639592,0.05150983251400935,0.0,0.08843921159132545
2028,source,augmentation_only,0.6318857178370556,0.29520190438751664,1.517724123734789e-05,0.8296534376138531,0.005025868745289958
2028,source,full_method,0.6357089587023399,0.3182587521020332,1.504910920853171e-05,0.8305070824902984,0.005111088982219256
2028,source,indicators_only,0.4097448805195612,0.08230142610670685,0.009972277485881883,0.32825312119471706,0.02320600149484695
2028,source,ordinary_baseline,0.3989543519468009,0.06628229487431476,0.008552979352028476,0.33202061235468916,0.02331674607881075
2028,target,augmentation_only,0.6310246214339021,0.26203939196782394,0.15355748157638335,0.00024968269490855,0.07000888745928403
2028,target,full_method,0.6325369174716066,0.26272056938940475,0.15830191856112144,0.0,0.07451587168884326
2028,target,indicators_only,0.41813634284581885,0.22829597208256933,0.10908166552941843,0.0,0.09003251481597346
2028,target,ordinary_baseline,0.4068658507007172,0.20313972516314738,0.05073119950308915,0.016454749439042633,0.09118268988474548
2029,source,augmentation_only,0.6239506896260881,0.2751534211273449,1.5604866574550817e-05,0.8332339647276088,0.0061402615432543635
2029,source,full_method,0.6303253472545912,0.29601541855030683,1.3591319222840455e-05,0.8332605904948384,0.005312532925895661
2029,source,indicators_only,0.4098136877571948,0.07465766887243658,0.007242503611793103,0.3249716729930316,0.023051253775005765
2029,source,ordinary_baseline,0.40695929718955726,0.06857542204459584,0.006132768453446891,0.3333037877444897,0.021944233297439913
2029,target,augmentation_only,0.599727132819493,0.24068827507344093,0.09924286553327115,0.0003623339883216833,0.07422869009005799
2029,target,full_method,0.5957578978517923,0.23826915873109755,0.0709171964755087,0.00031923162336220003,0.07392290485715283
2029,target,indicators_only,0.4108986401345953,0.20653969756116794,0.0469542596086284,0.0,0.08643180897197537
2029,target,ordinary_baseline,0.42232743461146205,0.21054789929220638,0.13580094374495652,0.0,0.09503920866653726
2030,source,augmentation_only,0.6311976454607199,0.2951145471619821,9.598471964934905e-05,0.8315554385937863,0.005435617316239435
2030,source,full_method,0.6351707085369805,0.3032606084430758,2.585678684897685e-05,0.8331409416725855,0.00454526547800965
2030,source,indicators_only,0.40926101026781553,0.08042870558431063,0.009831778027466868,0.16663592203160546,0.023741936341570485
2030,source,ordinary_baseline,0.4008876133654729,0.07394789141496864,0.009159287566998053,0.2777663802077397,0.022793712873417266
2030,target,augmentation_only,0.6019808976292683,0.23734646398927461,0.05664232448610962,1.4088773360947328e-05,0.06925409441171705
2030,target,full_method,0.6214290647084552,0.24306204530667766,0.05547046415535275,9.638089730614999e-05,0.07621076183345217
2030,target,indicators_only,0.4101238094380217,0.2192356223260582,0.1471565486863879,0.0,0.09739968601656573
2030,target,ordinary_baseline,0.4137200580897829,0.22261785059442832,0.12715983064061492,0.0,0.09266842064674312
2031,source,augmentation_only,0.627004843141694,0.2615256939439603,1.592296654929075e-05,0.8332235955598161,0.005876128331923001
2031,source,full_method,0.637327038580884,0.31006901220817223,1.2332179143644287e-05,0.8332663136123674,0.004961681315003443
2031,source,indicators_only,0.40483737076447057,0.08360632466312867,0.011376824483410958,0.3289141126844381,0.023980301262902615
2031,source,ordinary_baseline,0.40231369885513635,0.06907226626482342,0.008024250908292828,0.277743335399876,0.02195274793761487
2031,target,augmentation_only,0.5958154471715593,0.23790343250330234,0.16131649336378015,0.0003004828689824667,0.07556603368543778
2031,target,full_method,0.6052200068792288,0.2452199286291674,0.107601270023363,0.00032128514056223333,0.07816578282053212
2031,target,indicators_only,0.4036812881973184,0.20397567082667925,0.05239236327689453,0.0,0.09473888123502287
2031,target,ordinary_baseline,0.40500859236365566,0.20623114686224642,0.05140517663053625,0.0,0.09671419216967736
