seed,dataset,model,f1,precision,recall,false_positive_rate,ece,brier
2027,source,augmentation_only,0.8997469564986716,0.9895049145873624,0.846486055602874,0.00182612910774575,0.021988636346832065,0.02225905943265327
2027,source,full_method,0.8952808339245825,0.9869843420259734,0.8414575553080433,0.0021172511394153665,0.02161168024376353,0.022407566222295002
2027,source,indicators_only,0.6964190055276992,0.7881726044088352,0.7114099456201272,0.0750356589665585,0.09625718011529845,0.08972172653934947
2027,source,ordinary_baseline,0.6502582129018718,0.8566331008053396,0.6226113258642906,0.04995459053477302,0.10512225252020173,0.09425398000461349
2027,target,augmentation_only,0.25997417400654443,0.7395344088439323,0.16875061611561282,0.006902404969201433,0.12868290480196,0.1276365092737247
2027,target,full_method,0.2317819457285348,0.6913562368300864,0.1479239368308984,0.0074780571507967325,0.13270846089544056,0.13036710561705075
2027,target,indicators_only,0.209789316270824,0.5899161603839453,0.2148409928826324,0.07261730795564562,0.1497203871477434,0.1547794360068697
2027,target,ordinary_baseline,0.13307746817489996,0.615474290644991,0.10052443760966852,0.02987166992140045,0.1584633269922202,0.16150584522168432
2028,source,augmentation_only,0.8898981917740182,0.9895500852124178,0.8358393937408547,0.0017341958345869334,0.022364916231968613,0.0221928229410783
2028,source,full_method,0.8894205586980418,0.9894591151373472,0.8363471576142741,0.0017954846833594833,0.021195091106209613,0.022169160554930168
2028,source,indicators_only,0.6211377365942015,0.8477550594924321,0.6179158749918102,0.05273069679849338,0.10870028176497092,0.09784402720735359
2028,source,ordinary_baseline,0.6382942851835811,0.8613244907108765,0.621350105920636,0.05191444076711348,0.1034809107109066,0.0946267321654785
2028,target,augmentation_only,0.25266633330447413,0.8460904785933158,0.16382563435263497,0.006480554521509917,0.1265758284473044,0.1270447588901315
2028,target,full_method,0.21618554064840925,0.7601303563683688,0.1366219120285483,0.006505251144578,0.1268648634736553,0.12845996140588004
2028,target,indicators_only,0.1335591103736543,0.523010522546503,0.1206521953431517,0.035373394870089704,0.15201285781517634,0.15616744966410792
2028,target,ordinary_baseline,0.11400247043291978,0.6714553196022953,0.08945012913783242,0.02198722281052388,0.15352920401773976,0.15671922665830798
2029,source,augmentation_only,0.8941261212529398,0.9848126078835239,0.8413811177357008,0.00256577407815995,0.022703431658117734,0.02340470750287182
2029,source,full_method,0.9144050800674544,0.983906799414699,0.865748323833235,0.002914006173458533,0.0200154317456674,0.020623316935695434
2029,source,indicators_only,0.6921276125717385,0.8194518629625088,0.6623206446963245,0.05324608029953528,0.10194058105261372,0.09356374744782849
2029,source,ordinary_baseline,0.6045979660023221,0.897886773391844,0.5711742995042478,0.03604759357692861,0.10768981896623508,0.09776884366389922
2029,target,augmentation_only,0.2662983620748484,0.6625290862478179,0.17760197945624098,0.009157427519426966,0.1259618691946648,0.1271019995114485
2029,target,full_method,0.2879945461050575,0.7201408932452562,0.19576802507836988,0.01155199602926485,0.12972708201955443,0.12846588397160943
2029,target,indicators_only,0.18362807660672495,0.6527724496721479,0.14369294769424887,0.03790530069845256,0.15450638221431592,0.15850574251938207
2029,target,ordinary_baseline,0.10667661460202145,0.527379833822637,0.08790638985824406,0.026346879531478944,0.1562465081600383,0.15920626984697955
2030,source,augmentation_only,0.8850191282761677,0.9883251546290563,0.8318700998056302,0.0018651311024192,0.022887684682690104,0.023459349089774716
2030,source,full_method,0.9340439944519295,0.9549396850912251,0.9169887964358252,0.011689454974982966,0.022287108977609618,0.021405062067511717
2030,source,indicators_only,0.5957761495427252,0.87780144349701,0.5720533315861888,0.04370173503159156,0.10680373881340978,0.0974487616226979
2030,source,ordinary_baseline,0.6122865952882528,0.8457139495134807,0.6053964926073948,0.05167625001392923,0.10116892438204865,0.09479730555815365
2030,target,augmentation_only,0.2554912716364485,0.6857967446191532,0.16630488357879375,0.0069845262605417,0.1266141802904316,0.12640325874838274
2030,target,full_method,0.33103570361034523,0.661294103213257,0.2656946826758147,0.04323394850011178,0.13320112634052514,0.13142706318022404
2030,target,indicators_only,0.1175161888157717,0.7166609017980498,0.09466296011513965,0.023372643128977796,0.1568204371730894,0.15817460077720585
2030,target,ordinary_baseline,0.12529946550088014,0.5545162844555869,0.10008970643323273,0.02770599694243757,0.15588694106521775,0.1584257941386961
2031,source,augmentation_only,0.8862764158142477,0.9883500101949504,0.8339830526982462,0.0018943825984242667,0.023149775231737734,0.023665832214221916
2031,source,full_method,0.9019163282789018,0.9774206825094063,0.8521042171700627,0.0036439006452043663,0.0209908413906018,0.021852716723658183
2031,source,indicators_only,0.6377404077724687,0.8532544174764675,0.6148201533119307,0.04976097348978701,0.10446975505750283,0.09330826039856517
2031,source,ordinary_baseline,0.6412696271039848,0.8676205549858258,0.6096169385660312,0.04077519250270223,0.10098778311123106,0.09302060606181478
2031,target,augmentation_only,0.21962203472906858,0.6867430384756746,0.13867037321819362,0.0068672674973566,0.13152356706255197,0.1290951379653278
2031,target,full_method,0.2774038387396038,0.70056268079551,0.18529800279962927,0.009226296964242866,0.13202281721911327,0.13052882473401817
2031,target,indicators_only,0.14198495338773884,0.6627688596518501,0.10612961100924663,0.02467393430055745,0.15191659527614354,0.1559023076898803
2031,target,ordinary_baseline,0.11552958546772629,0.5619677342060422,0.08791920506299161,0.022875899669868364,0.15625361177078634,0.15822700591431535
