analysis,dataset,model,metric,seeds,mean,sd,ci95_lower,ci95_upper
nonselective pairwise average,target,indicators_only,ece,5,0.15299533192529371,0.0027280439221144767,0.14960801800168558,0.15638264584890185
nonselective pairwise average,target,indicators_only,brier,5,0.15670590733148917,0.0015845715469177536,0.15473840188910334,0.158673412773875
nonselective pairwise average,target,ordinary_baseline,f1,5,0.11891712083568953,0.010328467184189104,0.1060926349764529,0.13174160669492618
nonselective pairwise average,target,ordinary_baseline,precision,5,0.5861586925463105,0.05739407105065206,0.5148945408123669,0.6574228442802541
nonselective pairwise average,target,ordinary_baseline,recall,5,0.09317797362039386,0.0065399474426334385,0.08505755633073113,0.10129839091005659
nonselective pairwise average,target,ordinary_baseline,false_positive_rate,5,0.025757533775141846,0.0033010988038593286,0.0216586782358762,0.02985638931440749
nonselective pairwise average,target,ordinary_baseline,ece,5,0.15607591840120044,0.0017522743909224661,0.15390018237501757,0.15825165442738331
nonselective pairwise average,target,ordinary_baseline,brier,5,0.15881682835599667,0.001752370361311277,0.15664097316683714,0.1609926835451562
selective pairwise average at nominal 90%,source,augmentation_only,actual_coverage,5,0.6270567815081658,0.004579643971726996,0.6213704024638814,0.6327431605524502
selective pairwise average at nominal 90%,source,augmentation_only,attack_coverage,5,0.2778472995697656,0.01670741356311758,0.2571023056453412,0.29859229349419003
selective pairwise average at nominal 90%,source,augmentation_only,selective_risk,5,3.0322644620002693e-05,3.681976875687892e-05,-1.539513666760172e-05,7.60404259076071e-05
selective pairwise average at nominal 90%,source,augmentation_only,accepted_f1,5,0.832191335305281,0.0015973038425889396,0.8302080206297457,0.8341746499808163
selective pairwise average at nominal 90%,source,augmentation_only,aurc,5,0.005372309126908345,0.0006973201364301933,0.004506471818280435,0.0062381464355362555
selective pairwise average at nominal 90%,source,full_method,actual_coverage,5,0.6348078058481713,0.0026396771851056825,0.6315302137205457,0.6380853979757969
selective pairwise average at nominal 90%,source,full_method,attack_coverage,5,0.30704754416999713,0.008234272555896769,0.2968233443859428,0.31727174395405144
selective pairwise average at nominal 90%,source,full_method,selective_risk,5,1.5779455200394453e-05,5.756158624587883e-06,8.632240268293569e-06,2.2926670132495336e-05
selective pairwise average at nominal 90%,source,full_method,accepted_f1,5,0.8326903631361974,0.0012217430491480582,0.8311733687770145,0.8342073574953802
selective pairwise average at nominal 90%,source,full_method,aurc,5,0.005338200780332209,0.0008434308885496026,0.004290943011047154,0.006385458549617264
selective pairwise average at nominal 90%,source,indicators_only,actual_coverage,5,0.4070831502172977,0.0036289092547935587,0.40257726424287205,0.4115890361917233
selective pairwise average at nominal 90%,source,indicators_only,attack_coverage,5,0.07636987049291313,0.009322815467620718,0.06479406616487128,0.08794567482095499
selective pairwise average at nominal 90%,source,indicators_only,selective_risk,5,0.008529832830616068,0.0028312166973410405,0.005014412986414329,0.012045252674817809
selective pairwise average at nominal 90%,source,indicators_only,accepted_f1,5,0.2956404495491372,0.07213662574072693,0.20607099841497745,0.38520990068329697
selective pairwise average at nominal 90%,source,indicators_only,aurc,5,0.023685235168865844,0.0005704557605037974,0.022976920788480328,0.02439354954925136
selective pairwise average at nominal 90%,source,ordinary_baseline,actual_coverage,5,0.4078928560330629,0.012896332108781768,0.39187994474470933,0.4239057673214165
selective pairwise average at nominal 90%,source,ordinary_baseline,attack_coverage,5,0.07167769551639039,0.005672229590364871,0.06463469224448823,0.07872069878829255
selective pairwise average at nominal 90%,source,ordinary_baseline,selective_risk,5,0.00815406973729248,0.0012072801684959364,0.006655033416325699,0.009653106058259262
selective pairwise average at nominal 90%,source,ordinary_baseline,accepted_f1,5,0.31083156491726316,0.030199380964645372,0.2733340808054229,0.34832904902910344
selective pairwise average at nominal 90%,source,ordinary_baseline,aurc,5,0.02290834321237716,0.0010800764203567216,0.02156725120591142,0.0242494352188429
selective pairwise average at nominal 90%,target,augmentation_only,actual_coverage,5,0.6043843240323624,0.015262984356070432,0.5854328258522825,0.6233358222124423
selective pairwise average at nominal 90%,target,augmentation_only,attack_coverage,5,0.2439115948029415,0.010291260822811782,0.23113330674313123,0.25668988286275174
selective pairwise average at nominal 90%,target,augmentation_only,selective_risk,5,0.1242944792061692,0.04508131729441799,0.06831863053008955,0.18027032788224887
selective pairwise average at nominal 90%,target,augmentation_only,accepted_f1,5,0.00018531766511472946,0.0001676325075117958,-2.2825584391289808e-05,0.0003934609146207487
selective pairwise average at nominal 90%,target,augmentation_only,aurc,5,0.07222858602051362,0.0026895254124473774,0.06888909914362357,0.07556807289740367
selective pairwise average at nominal 90%,target,full_method,actual_coverage,5,0.6129999075874691,0.014311078282545754,0.5952303569085563,0.630769458266382
selective pairwise average at nominal 90%,target,full_method,attack_coverage,5,0.24929279785493189,0.010242535588959899,0.23657501016379956,0.2620105855460642
selective pairwise average at nominal 90%,target,full_method,selective_risk,5,0.11281852934954754,0.05152549537053511,0.048841176758339266,0.17679588194075582
selective pairwise average at nominal 90%,target,full_method,accepted_f1,5,0.00014737953224611667,0.00016264886691941437,-5.4575710156355717e-05,0.00034933477464858906
selective pairwise average at nominal 90%,target,full_method,aurc,5,0.07604521676121585,0.0018187925394242425,0.07378688754481116,0.07830354597762054
selective pairwise average at nominal 90%,target,indicators_only,actual_coverage,5,0.40834528524278635,0.007361589266981463,0.39920466488041223,0.41748590560516047
selective pairwise average at nominal 90%,target,indicators_only,attack_coverage,5,0.21160268922142703,0.011791246144972543,0.19696192338925567,0.22624345505359839
selective pairwise average at nominal 90%,target,indicators_only,selective_risk,5,0.1062443472150513,0.0568166690032717,0.03569713481582895,0.17679155961427365
selective pairwise average at nominal 90%,target,indicators_only,accepted_f1,5,0.0,0.0,0.0,0.0
selective pairwise average at nominal 90%,target,indicators_only,aurc,5,0.09203591923359893,0.004233986193959441,0.0867787310076677,0.09729310745953015
selective pairwise average at nominal 90%,target,ordinary_baseline,actual_coverage,5,0.4159355567721537,0.0111546433568667,0.40208523770312954,0.4297858758411779
selective pairwise average at nominal 90%,target,ordinary_baseline,attack_coverage,5,0.2109804617416849,0.0074425788533432225,0.20173927952569592,0.22022164395767385
selective pairwise average at nominal 90%,target,ordinary_baseline,selective_risk,5,0.08332139660664124,0.04406998077270071,0.02860128807964657,0.13804150513363592
selective pairwise average at nominal 90%,target,ordinary_baseline,accepted_f1,5,0.003290949887808527,0.007358787659685172,-0.005846191819648703,0.012428091595265756
selective pairwise average at nominal 90%,target,ordinary_baseline,aurc,5,0.09280874459180574,0.003239755165686454,0.08878605723957819,0.09683143194403329
