actual_coverage,benign_coverage,attack_coverage,accepted_rows,abstained_rows,selective_risk,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1,attack_abstention_rate,accepted_false_negative_rate,seed,dataset,model,condition_type,missing_groups,desired_policy_coverage,confidence_cutoff,aurc
0.7819387659976827,0.8181058402701167,0.6401755880233244,117430,32748,0.0,1.0,1.0,1.0,1.0,0.3598244119766756,0.0,2027,source,ordinary_random_forest,complete,,0.8,0.9999126649926116,4.5953263553329136e-05
0.8790701700648563,0.9122956574064788,0.7488370569350717,132017,18161,0.000106046948499,0.999893953051501,0.99938792462729,1.0,0.9996938686259076,0.2511629430649282,0.0,2027,source,ordinary_random_forest,complete,,0.9,0.9993970800012172,4.5953263553329136e-05
0.9276924716003676,0.9612208738675492,0.7962720304003145,139319,10859,0.0001866220687774,0.9998133779312226,0.9990135229561428,0.9999177191755462,0.999465416563862,0.2037279695996855,6.551791915088777e-05,2027,source,ordinary_random_forest,complete,,0.95,0.9971503853542002,4.5953263553329136e-05
0.8651866451810518,0.9152375221475612,0.669003472449715,129932,20246,0.0,1.0,1.0,1.0,1.0,0.330996527550285,0.0,2027,source,group_aware_random_forest,complete,,0.8,0.9996991705628446,3.809635756186608e-05
0.9267802208046452,0.9636278541102532,0.7823494725807508,139182,10996,0.0001508815795145,0.9998491184204854,0.9992049876563872,0.9999162549200236,0.9995604947573304,0.2176505274192491,6.551791915088777e-05,2027,source,group_aware_random_forest,complete,,0.9,0.9983293982691632,3.809635756186608e-05
0.9558523884989812,0.9869538327817337,0.833944833912075,143548,6630,0.0002856187477359,0.999714381252264,0.9985093362623568,0.999882154220843,0.9991952737050775,0.166055166087925,9.827687872633164e-05,2027,source,group_aware_random_forest,complete,,0.95,0.9940098590285424,3.809635756186608e-05
0.0,0.0,0.0,0,150178,,,,,,1.0,0.0,2027,source,ordinary_random_forest,single,G1_Packet_Byte_Magnitude,0.8,0.9999126649926116,0.0742543277174898
0.0,0.0,0.0,0,150178,,,,,,1.0,0.0,2027,source,ordinary_random_forest,single,G1_Packet_Byte_Magnitude,0.9,0.9993970800012172,0.0742543277174898
0.0083167974004181,0.0104386052886704,0.0,1249,148929,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2027,source,ordinary_random_forest,single,G1_Packet_Byte_Magnitude,0.95,0.9971503853542002,0.0742543277174898
0.5774148011026915,0.6632400628489286,0.2410076655965406,86715,63463,0.0,1.0,1.0,1.0,1.0,0.7589923344034594,0.0,2027,source,group_aware_random_forest,single,G1_Packet_Byte_Magnitude,0.8,0.9996991705628446,0.0001025378041874
