rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,false_positive_rate,false_negative_rate,brier,logloss,ece,tn,fp,fn,tp,seed,dataset,model,condition_type,missing_groups
150178,0.9985150954201016,0.9987875149361658,0.9934859785688694,0.9992465439297648,0.9963579349654575,0.9998904919004024,0.9995367909442404,0.9954319477914216,0.0016715140574332,0.0007534560702352,0.0024393344430525,0.0115102784654834,0.0066092192328944,119452,200,23,30503,2027,source,ordinary_random_forest,complete,
150178,0.9986815645434084,0.9980501366343096,0.99652914210871,0.9969861757190592,0.9967576065240888,0.9998919195538868,0.9995449047155824,0.9959301999483596,0.0008859024504396,0.0030138242809408,0.0032996150625488,0.0133727105947372,0.0079837382696378,119546,106,92,30434,2027,source,group_aware_random_forest,complete,
150178,0.7994380002397156,0.5066500687938151,1.0,0.0133001375876302,0.0262511315142894,0.8267847615441349,0.7520500496568681,0.1030796020827422,0.0,0.9866998624123696,0.1797338851052109,0.654924768158378,0.1765206312815941,119652,0,30120,406,2027,source,ordinary_random_forest,single,G1_Packet_Byte_Magnitude
150178,0.9979890529904514,0.9963100686524542,0.9966151823858036,0.9934809670444866,0.9950456066671042,0.9997963287828092,0.9990696132047772,0.9937860635190744,0.0008608297395781,0.0065190329555133,0.0060952506027899,0.0218086076932443,0.0131554102039036,119549,103,199,30327,2027,source,group_aware_random_forest,single,G1_Packet_Byte_Magnitude
150178,0.939505120590233,0.8545110150717519,0.987627928132818,0.711295289261613,0.8269886309535145,0.9985716346738788,0.993830918060754,0.8071593278199999,0.0022732591181091,0.2887047107383869,0.0629856934046042,0.174961818319708,0.0902931287694889,119380,272,8813,21713,2027,source,ordinary_random_forest,single,G2_Temporal_Activity
150178,0.9976028446243792,0.9958846886944644,0.9952065138879768,0.992989582650855,0.9940968122786304,0.9998631248686666,0.999420060174665,0.9925938508513767,0.0012202052619262,0.0070104173491449,0.0020630862227129,0.0096996105714699,0.0025651660628293,119506,146,214,30312,2027,source,group_aware_random_forest,single,G2_Temporal_Activity
150178,0.998288697412404,0.9980842042876537,0.9938652308696362,0.9977396317892944,0.9957986627650356,0.9998217345534968,0.9991889889054208,0.9947271538947328,0.0015712232139872,0.0022603682107056,0.0115281847216677,0.0422485091084375,0.0321115959655566,119464,188,69,30457,2027,source,ordinary_random_forest,single,G3_TCP_Control_Flags
150178,0.9985617067746274,0.9976577004409776,0.9967875172097292,0.9961344427700976,0.9964608729846638,0.9998850719095682,0.9995125201930322,0.99555841513998,0.0008190418881422,0.0038655572299023,0.003397290151225,0.0138194544039895,0.0080558733125218,119554,98,118,30408,2027,source,group_aware_random_forest,single,G3_TCP_Control_Flags
150178,0.9594614390922772,0.9699110913864496,0.8408178065379895,0.987518836401756,0.908282864804604,0.992465345663073,0.9644317582554078,0.8871793494513734,0.047696653628857,0.0124811635982441,0.055770871051755,0.1741100713828334,0.1046191756558212,113945,5707,381,30145,2027,source,ordinary_random_forest,single,G4_Rate_Header_Flow_Context
150178,0.969695960793192,0.933753459844092,0.9751234680812144,0.8731900674834567,0.9213459843417846,0.995022790507725,0.9822832135093732,0.9047594598241906,0.0056831477952729,0.1268099325165432,0.0274408058255619,0.1090189852785031,0.0253906788941989,118972,680,3871,26655,2027,source,group_aware_random_forest,single,G4_Rate_Header_Flow_Context
