job_id,direction,variant,partition_seed,model_seed,action,training_replacement,output_subdir
forward_iid_matched_feature_dropout_seed_2030,forward,iid_matched_feature_dropout,,2030,train_new,source_training_median,revision_v2/forward/forward_iid_matched_feature_dropout_seed_2030
forward_random_partition_group_mask_partition_4101_seed_2030,forward,random_partition_group_mask,4101,2030,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4101_seed_2030
forward_random_partition_group_mask_partition_4102_seed_2030,forward,random_partition_group_mask,4102,2030,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4102_seed_2030
forward_random_partition_group_mask_partition_4103_seed_2030,forward,random_partition_group_mask,4103,2030,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4103_seed_2030
forward_random_partition_group_mask_partition_4104_seed_2030,forward,random_partition_group_mask,4104,2030,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4104_seed_2030
forward_random_partition_group_mask_partition_4105_seed_2030,forward,random_partition_group_mask,4105,2030,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4105_seed_2030
forward_semantic_uniform_singleton_seed_2030,forward,semantic_uniform_singleton,,2030,reuse_verified_v1_augmentation_only,source_training_median,revision_v2/forward/forward_semantic_uniform_singleton_seed_2030
forward_semantic_exhaustive_singleton_seed_2030,forward,semantic_exhaustive_singleton,,2030,train_new,source_training_median,revision_v2/forward/forward_semantic_exhaustive_singleton_seed_2030
forward_seen_pairwise_oracle_upper_bound_seed_2030,forward,seen_pairwise_oracle_upper_bound,,2030,train_new,source_training_median,revision_v2/forward/forward_seen_pairwise_oracle_upper_bound_seed_2030
forward_matched_complete_baseline_seed_2031,forward,matched_complete_baseline,,2031,train_new,source_training_median,revision_v2/forward/forward_matched_complete_baseline_seed_2031
forward_iid_matched_feature_dropout_seed_2031,forward,iid_matched_feature_dropout,,2031,train_new,source_training_median,revision_v2/forward/forward_iid_matched_feature_dropout_seed_2031
forward_random_partition_group_mask_partition_4101_seed_2031,forward,random_partition_group_mask,4101,2031,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4101_seed_2031
forward_random_partition_group_mask_partition_4102_seed_2031,forward,random_partition_group_mask,4102,2031,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4102_seed_2031
forward_random_partition_group_mask_partition_4103_seed_2031,forward,random_partition_group_mask,4103,2031,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4103_seed_2031
forward_random_partition_group_mask_partition_4104_seed_2031,forward,random_partition_group_mask,4104,2031,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4104_seed_2031
forward_random_partition_group_mask_partition_4105_seed_2031,forward,random_partition_group_mask,4105,2031,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4105_seed_2031
forward_semantic_uniform_singleton_seed_2031,forward,semantic_uniform_singleton,,2031,reuse_verified_v1_augmentation_only,source_training_median,revision_v2/forward/forward_semantic_uniform_singleton_seed_2031
forward_semantic_exhaustive_singleton_seed_2031,forward,semantic_exhaustive_singleton,,2031,train_new,source_training_median,revision_v2/forward/forward_semantic_exhaustive_singleton_seed_2031
forward_seen_pairwise_oracle_upper_bound_seed_2031,forward,seen_pairwise_oracle_upper_bound,,2031,train_new,source_training_median,revision_v2/forward/forward_seen_pairwise_oracle_upper_bound_seed_2031
reverse_matched_complete_baseline_seed_2027,reverse,matched_complete_baseline,,2027,train_new,source_training_median,revision_v2/reverse/reverse_matched_complete_baseline_seed_2027
reverse_iid_matched_feature_dropout_seed_2027,reverse,iid_matched_feature_dropout,,2027,train_new,source_training_median,revision_v2/reverse/reverse_iid_matched_feature_dropout_seed_2027
reverse_random_partition_group_mask_partition_4101_seed_2027,reverse,random_partition_group_mask,4101,2027,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4101_seed_2027
reverse_random_partition_group_mask_partition_4102_seed_2027,reverse,random_partition_group_mask,4102,2027,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4102_seed_2027
reverse_random_partition_group_mask_partition_4103_seed_2027,reverse,random_partition_group_mask,4103,2027,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4103_seed_2027
reverse_random_partition_group_mask_partition_4104_seed_2027,reverse,random_partition_group_mask,4104,2027,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4104_seed_2027
reverse_random_partition_group_mask_partition_4105_seed_2027,reverse,random_partition_group_mask,4105,2027,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4105_seed_2027
reverse_semantic_uniform_singleton_seed_2027,reverse,semantic_uniform_singleton,,2027,train_new,source_training_median,revision_v2/reverse/reverse_semantic_uniform_singleton_seed_2027
reverse_matched_complete_baseline_seed_2028,reverse,matched_complete_baseline,,2028,train_new,source_training_median,revision_v2/reverse/reverse_matched_complete_baseline_seed_2028
reverse_iid_matched_feature_dropout_seed_2028,reverse,iid_matched_feature_dropout,,2028,train_new,source_training_median,revision_v2/reverse/reverse_iid_matched_feature_dropout_seed_2028
reverse_random_partition_group_mask_partition_4101_seed_2028,reverse,random_partition_group_mask,4101,2028,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4101_seed_2028
reverse_random_partition_group_mask_partition_4102_seed_2028,reverse,random_partition_group_mask,4102,2028,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4102_seed_2028
reverse_random_partition_group_mask_partition_4103_seed_2028,reverse,random_partition_group_mask,4103,2028,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4103_seed_2028
reverse_random_partition_group_mask_partition_4104_seed_2028,reverse,random_partition_group_mask,4104,2028,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4104_seed_2028
reverse_random_partition_group_mask_partition_4105_seed_2028,reverse,random_partition_group_mask,4105,2028,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4105_seed_2028
reverse_semantic_uniform_singleton_seed_2028,reverse,semantic_uniform_singleton,,2028,train_new,source_training_median,revision_v2/reverse/reverse_semantic_uniform_singleton_seed_2028
reverse_matched_complete_baseline_seed_2029,reverse,matched_complete_baseline,,2029,train_new,source_training_median,revision_v2/reverse/reverse_matched_complete_baseline_seed_2029
reverse_iid_matched_feature_dropout_seed_2029,reverse,iid_matched_feature_dropout,,2029,train_new,source_training_median,revision_v2/reverse/reverse_iid_matched_feature_dropout_seed_2029
reverse_random_partition_group_mask_partition_4101_seed_2029,reverse,random_partition_group_mask,4101,2029,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4101_seed_2029
reverse_random_partition_group_mask_partition_4102_seed_2029,reverse,random_partition_group_mask,4102,2029,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4102_seed_2029
reverse_random_partition_group_mask_partition_4103_seed_2029,reverse,random_partition_group_mask,4103,2029,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4103_seed_2029
reverse_random_partition_group_mask_partition_4104_seed_2029,reverse,random_partition_group_mask,4104,2029,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4104_seed_2029
reverse_random_partition_group_mask_partition_4105_seed_2029,reverse,random_partition_group_mask,4105,2029,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4105_seed_2029
reverse_semantic_uniform_singleton_seed_2029,reverse,semantic_uniform_singleton,,2029,train_new,source_training_median,revision_v2/reverse/reverse_semantic_uniform_singleton_seed_2029
reverse_matched_complete_baseline_seed_2030,reverse,matched_complete_baseline,,2030,train_new,source_training_median,revision_v2/reverse/reverse_matched_complete_baseline_seed_2030
reverse_iid_matched_feature_dropout_seed_2030,reverse,iid_matched_feature_dropout,,2030,train_new,source_training_median,revision_v2/reverse/reverse_iid_matched_feature_dropout_seed_2030
reverse_random_partition_group_mask_partition_4101_seed_2030,reverse,random_partition_group_mask,4101,2030,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4101_seed_2030
